index,gm_code,municipality,gender,age_group,education,vote_2030
319,GM0556    ,Maassluis,female,55-65,"Havo, vwo, mbo2-4",50PLUS
320,GM0252    ,Heumen,male,55-65,"Hbo-, wo-master, doctor",D66
321,GM0163    ,Hellendoorn,male,45-55,"Havo, vwo, mbo2-4",VVD
322,GM1709    ,Moerdijk,male,45-55,"Havo, vwo, mbo2-4",CDA
323,GM0268    ,Nijmegen,female,65-75,"Havo, vwo, mbo2-4",50PLUS
324,GM0935    ,Maastricht,female,15-25,"Havo, vwo, mbo2-4",D66
325,GM0629    ,Wassenaar,female,45-55,"Hbo-, wo-bachelor",VVD
326,GM1507    ,Horst aan de Maas,male,55-65,"Havo, vwo, mbo2-4",50PLUS
327,GM0518    ,'s-Gravenhage (gemeente),male,25-35,"Havo, vwo, mbo2-4",D66
328,GM1586    ,Oost Gelre,male,35-45,"Havo, vwo, mbo2-4",VVD
329,GM0202    ,Arnhem,female,35-45,"Hbo-, wo-bachelor",D66
330,GM0772    ,Eindhoven,male,25-35,"Havo, vwo, mbo2-4",VVD
331,GM0518    ,'s-Gravenhage (gemeente),male,35-45,"Havo, vwo, mbo2-4",D66
332,GM0796    ,'s-Hertogenbosch,female,45-55,"Hbo-, wo-master, doctor",D66
333,GM0034    ,Almere,female,35-45,"Havo, vwo, mbo2-4",D66
334,GM0307    ,Amersfoort,male,45-55,"Hbo-, wo-bachelor",VVD
335,GM0344    ,Utrecht (gemeente),female,35-45,"Havo, vwo, mbo2-4",D66
336,GM1963    ,Hoeksche Waard,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
337,GM0183    ,Tubbergen,male,45-55,"Hbo-, wo-bachelor",CDA
338,GM0637    ,Zoetermeer,male,15-25,"Havo, vwo, mbo2-4",D66
339,GM0361    ,Alkmaar,female,25-35,"Hbo-, wo-bachelor",D66
340,GM1721    ,Bernheze,female,55-65,"Havo, vwo, mbo2-4",50PLUS
341,GM0599    ,Rotterdam,female,35-45,"Hbo-, wo-bachelor",D66
342,GM1730    ,Tynaarlo,male,15-25,"Hbo-, wo-bachelor",D66
343,GM1509    ,Oude IJsselstreek,male,35-45,"Havo, vwo, mbo2-4",VVD
344,GM1980    ,Dijk en Waard,male,45-55,"Havo, vwo, mbo2-4",BBB
345,GM0114    ,Emmen,male,65-75,"Hbo-, wo-bachelor",VVD
346,GM0193    ,Zwolle,female,55-65,"Havo, vwo, mbo2-4",CDA
347,GM0299    ,Zevenaar,male,25-35,"Havo, vwo, mbo2-4",VVD
348,GM0268    ,Nijmegen,male,15-25,Basisonderwijs,Did not vote
349,GM0141    ,Almelo,male,35-45,"Havo, vwo, mbo2-4",VVD
350,GM0994    ,Valkenburg aan de Geul,female,45-55,"Hbo-, wo-bachelor",CDA
351,GM0307    ,Amersfoort,female,45-55,"Havo, vwo, mbo2-4",VVD
352,GM0513    ,Gouda,female,35-45,"Hbo-, wo-bachelor",D66
353,GM0928    ,Kerkrade,male,35-45,"Havo, vwo, mbo2-4",CDA
354,GM1982    ,Land van Cuijk,female,25-35,"Havo, vwo, mbo2-4",D66
355,GM0518    ,'s-Gravenhage (gemeente),male,25-35,"Hbo-, wo-master, doctor",D66
356,GM0363    ,Amsterdam,female,65-75,"Hbo-, wo-master, doctor",D66
357,GM0484    ,Alphen aan den Rijn,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
358,GM0037    ,Stadskanaal,female,65-75,"Hbo-, wo-bachelor",CDA
359,GM0363    ,Amsterdam,female,15-25,"Havo, vwo, mbo2-4",D66
360,GM1507    ,Horst aan de Maas,male,45-55,Basisonderwijs,BBB
361,GM0796    ,'s-Hertogenbosch,female,55-65,Basisonderwijs,CDA
362,GM0014    ,Groningen (gemeente),male,65-75,Basisonderwijs,50PLUS
363,GM0489    ,Barendrecht,female,35-45,"Havo, vwo, mbo2-4",VVD
364,GM0826    ,Oosterhout,male,45-55,"Havo, vwo, mbo2-4",VVD
365,GM1509    ,Oude IJsselstreek,male,55-65,"Havo, vwo, mbo2-4",50PLUS
366,GM0150    ,Deventer,female,55-65,"Hbo-, wo-master, doctor",D66
367,GM0327    ,Leusden,male,45-55,"Havo, vwo, mbo2-4",VVD
368,GM0080    ,Leeuwarden,male,55-65,"Havo, vwo, mbo2-4",CDA
369,GM0957    ,Roermond,male,55-65,Basisonderwijs,50PLUS
370,GM0392    ,Haarlem,male,25-35,"Hbo-, wo-master, doctor",D66
371,GM0202    ,Arnhem,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
372,GM0388    ,Enkhuizen,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
373,GM0296    ,Wijchen,female,25-35,"Hbo-, wo-bachelor",D66
374,GM0718    ,Vlissingen,female,65-75,"Hbo-, wo-bachelor",CDA
375,GM0622    ,Vlaardingen,female,25-35,Basisonderwijs,Did not vote
376,GM0086    ,Opsterland,male,25-35,"Hbo-, wo-bachelor",D66
377,GM0794    ,Helmond,male,55-65,"Havo, vwo, mbo2-4",VVD
378,GM0344    ,Utrecht (gemeente),female,55-65,"Hbo-, wo-bachelor",D66
379,GM0935    ,Maastricht,male,15-25,"Havo, vwo, mbo2-4",D66
380,GM0150    ,Deventer,female,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
381,GM0153    ,Enschede,female,15-25,"Hbo-, wo-bachelor",D66
382,GM0375    ,Beverwijk,female,35-45,"Havo, vwo, mbo2-4",VVD
383,GM0074    ,Heerenveen,male,55-65,"Havo, vwo, mbo2-4",CDA
384,GM0518    ,'s-Gravenhage (gemeente),male,45-55,"Hbo-, wo-bachelor",VVD
385,GM0216    ,Culemborg,female,35-45,"Havo, vwo, mbo2-4",VVD
386,GM0080    ,Leeuwarden,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",FNP
387,GM0153    ,Enschede,male,45-55,"Hbo-, wo-bachelor",D66
388,GM0014    ,Groningen (gemeente),female,15-25,"Havo, vwo, mbo2-4",D66
389,GM1980    ,Dijk en Waard,male,55-65,"Havo, vwo, mbo2-4",VVD
390,GM1681    ,Borger-Odoorn,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
391,GM0796    ,'s-Hertogenbosch,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
392,GM1640    ,Leudal,male,15-25,Basisonderwijs,Did not vote
393,GM0484    ,Alphen aan den Rijn,female,15-25,Basisonderwijs,Did not vote
394,GM1969    ,Westerkwartier,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
395,GM1904    ,Stichtse Vecht,female,35-45,"Hbo-, wo-master, doctor",D66
396,GM0599    ,Rotterdam,female,35-45,"Havo, vwo, mbo2-4",D66
397,GM0866    ,Waalre,male,45-55,"Hbo-, wo-bachelor",VVD
398,GM0984    ,Venray,female,65-75,"Hbo-, wo-bachelor",CDA
399,GM0273    ,Putten,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
400,GM0353    ,IJsselstein,male,45-55,"Havo, vwo, mbo2-4",VVD
401,GM0080    ,Leeuwarden,female,25-35,Basisonderwijs,Did not vote
402,GM1966    ,Het Hogeland,male,35-45,"Hbo-, wo-bachelor",BBB
403,GM0307    ,Amersfoort,female,55-65,"Hbo-, wo-bachelor",CDA
404,GM1903    ,Eijsden-Margraten,female,55-65,"Havo, vwo, mbo2-4",CDA
405,GM0957    ,Roermond,male,25-35,"Hbo-, wo-bachelor",D66
406,GM0599    ,Rotterdam,male,45-55,"Hbo-, wo-bachelor",D66
407,GM0228    ,Ede,male,55-65,"Havo, vwo, mbo2-4",VVD
408,GM0629    ,Wassenaar,male,55-65,"Havo, vwo, mbo2-4",VVD
409,GM0202    ,Arnhem,female,45-55,Basisonderwijs,Did not vote
410,GM0828    ,Oss,male,35-45,"Hbo-, wo-bachelor",VVD
411,GM1963    ,Hoeksche Waard,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
412,GM0014    ,Groningen (gemeente),male,65-75,"Havo, vwo, mbo2-4",VVD
413,GM0556    ,Maassluis,male,35-45,"Hbo-, wo-bachelor",VVD
414,GM1892    ,Zuidplas,female,25-35,"Havo, vwo, mbo2-4",D66
415,GM0394    ,Haarlemmermeer,male,35-45,"Havo, vwo, mbo2-4",VVD
416,GM1954    ,Beekdaelen,male,25-35,"Hbo-, wo-bachelor",D66
417,GM0355    ,Zeist,female,35-45,"Hbo-, wo-master, doctor",D66
418,GM0394    ,Haarlemmermeer,male,45-55,"Hbo-, wo-master, doctor",D66
419,GM0441    ,Schagen,male,15-25,"Havo, vwo, mbo2-4",Did not vote
420,GM0489    ,Barendrecht,female,25-35,"Havo, vwo, mbo2-4",VVD
421,GM0772    ,Eindhoven,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
422,GM0597    ,Ridderkerk,male,55-65,"Havo, vwo, mbo2-4",VVD
423,GM0632    ,Woerden,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",VVD
424,GM1969    ,Westerkwartier,male,35-45,Basisonderwijs,BBB
425,GM0392    ,Haarlem,female,45-55,"Havo, vwo, mbo2-4",50PLUS
426,GM0556    ,Maassluis,female,65-75,"Havo, vwo, mbo2-4",50PLUS
427,GM1734    ,Overbetuwe,female,45-55,"Hbo-, wo-master, doctor",D66
428,GM0392    ,Haarlem,female,55-65,"Havo, vwo, mbo2-4",VVD
429,GM0342    ,Soest,male,35-45,"Hbo-, wo-master, doctor",D66
430,GM0553    ,Lisse,female,15-25,"Havo, vwo, mbo2-4",D66
431,GM1980    ,Dijk en Waard,male,35-45,"Havo, vwo, mbo2-4",VVD
432,GM0479    ,Zaanstad,male,25-35,"Havo, vwo, mbo2-4",D66
433,GM0599    ,Rotterdam,male,65-75,"Havo, vwo, mbo2-4",50PLUS
434,GM0405    ,Hoorn,female,65-75,Basisonderwijs,50PLUS
435,GM1700    ,Twenterand,female,35-45,"Hbo-, wo-bachelor",D66
436,GM0402    ,Hilversum,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",SP
437,GM1960    ,West Betuwe,female,25-35,"Hbo-, wo-master, doctor",D66
438,GM0345    ,Veenendaal,female,45-55,"Hbo-, wo-bachelor",VVD
439,GM0362    ,Amstelveen,male,55-65,"Hbo-, wo-master, doctor",D66
440,GM0216    ,Culemborg,female,55-65,"Havo, vwo, mbo2-4",CDA
441,GM0118    ,Hoogeveen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
442,GM0796    ,'s-Hertogenbosch,female,45-55,Basisonderwijs,CDA
443,GM0109    ,Coevorden,female,65-75,Basisonderwijs,CDA
444,GM0622    ,Vlaardingen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
445,GM0361    ,Alkmaar,male,25-35,"Hbo-, wo-bachelor",D66
446,GM0202    ,Arnhem,male,35-45,"Havo, vwo, mbo2-4",VVD
447,GM0168    ,Losser,female,45-55,"Hbo-, wo-bachelor",VVD
448,GM1891    ,Dantumadiel,male,25-35,"Havo, vwo, mbo2-4",VVD
449,GM0047    ,Veendam,female,15-25,"Havo, vwo, mbo2-4",PvdD
450,GM1701    ,Westerveld,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
451,GM0599    ,Rotterdam,female,65-75,Basisonderwijs,PVV
452,GM1734    ,Overbetuwe,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
453,GM0164    ,Hengelo (O.),female,65-75,"Hbo-, wo-bachelor",CDA
454,GM0268    ,Nijmegen,male,35-45,"Hbo-, wo-bachelor",D66
455,GM1895    ,Oldambt,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
456,GM0355    ,Zeist,male,35-45,"Hbo-, wo-master, doctor",D66
457,GM0796    ,'s-Hertogenbosch,male,55-65,"Hbo-, wo-master, doctor",D66
458,GM0377    ,Bloemendaal,female,45-55,"Hbo-, wo-master, doctor",D66
459,GM1900    ,Súdwest-Fryslân,female,35-45,"Hbo-, wo-master, doctor",D66
460,GM1900    ,Súdwest-Fryslân,female,15-25,"Havo, vwo, mbo2-4",D66
461,GM0794    ,Helmond,male,35-45,Basisonderwijs,Did not vote
462,GM1940    ,De Fryske Marren,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
463,GM0294    ,Winterswijk,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
464,GM0637    ,Zoetermeer,male,45-55,"Hbo-, wo-bachelor",D66
465,GM1721    ,Bernheze,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
466,GM0209    ,Beuningen,female,45-55,"Hbo-, wo-master, doctor",D66
467,GM0971    ,Stein (L.),male,55-65,"Havo, vwo, mbo2-4",CDA
468,GM0289    ,Wageningen,female,65-75,"Hbo-, wo-master, doctor",D66
469,GM0268    ,Nijmegen,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
470,GM0935    ,Maastricht,female,65-75,Basisonderwijs,CDA
471,GM0599    ,Rotterdam,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
472,GM0114    ,Emmen,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
473,GM0984    ,Venray,female,35-45,"Havo, vwo, mbo2-4",CDA
474,GM0344    ,Utrecht (gemeente),male,55-65,Basisonderwijs,Did not vote
475,GM0209    ,Beuningen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
476,GM0855    ,Tilburg,female,25-35,"Hbo-, wo-bachelor",D66
477,GM0363    ,Amsterdam,male,35-45,"Hbo-, wo-bachelor",GL-PvdA
478,GM0353    ,IJsselstein,female,35-45,Basisonderwijs,Did not vote
479,GM0518    ,'s-Gravenhage (gemeente),male,45-55,Basisonderwijs,PVV
480,GM0034    ,Almere,female,35-45,"Hbo-, wo-bachelor",D66
481,GM0603    ,Rijswijk (ZH.),female,65-75,"Havo, vwo, mbo2-4",50PLUS
482,GM0642    ,Zwijndrecht,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
483,GM0479    ,Zaanstad,female,35-45,"Hbo-, wo-bachelor",D66
484,GM0599    ,Rotterdam,male,45-55,"Havo, vwo, mbo2-4",VVD
485,GM0344    ,Utrecht (gemeente),female,15-25,"Havo, vwo, mbo2-4",D66
486,GM1952    ,Midden-Groningen,female,25-35,Basisonderwijs,Did not vote
487,GM0439    ,Purmerend,female,45-55,"Havo, vwo, mbo2-4",VVD
488,GM0627    ,Waddinxveen,female,15-25,"Havo, vwo, mbo2-4",D66
489,GM1621    ,Lansingerland,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
490,GM0537    ,Katwijk,female,15-25,"Havo, vwo, mbo2-4",D66
491,GM0603    ,Rijswijk (ZH.),male,15-25,"Havo, vwo, mbo2-4",D66
492,GM0014    ,Groningen (gemeente),female,15-25,"Hbo-, wo-bachelor",D66
493,GM0546    ,Leiden,female,25-35,"Hbo-, wo-bachelor",D66
494,GM0394    ,Haarlemmermeer,female,35-45,"Hbo-, wo-bachelor",D66
495,GM0059    ,Achtkarspelen,female,35-45,"Havo, vwo, mbo2-4",CDA
496,GM0301    ,Zutphen,male,45-55,"Havo, vwo, mbo2-4",VVD
497,GM0263    ,Maasdriel,female,45-55,"Havo, vwo, mbo2-4",CDA
498,GM1949    ,Waadhoeke,male,65-75,"Havo, vwo, mbo2-4",CDA
499,GM0758    ,Breda,male,45-55,"Hbo-, wo-bachelor",CDA
500,GM0294    ,Winterswijk,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
501,GM1774    ,Dinkelland,male,55-65,"Havo, vwo, mbo2-4",BBB
502,GM1894    ,Peel en Maas,male,45-55,"Havo, vwo, mbo2-4",BBB
503,GM1771    ,Geldrop-Mierlo,female,45-55,"Havo, vwo, mbo2-4",VVD
504,GM0392    ,Haarlem,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
505,GM0344    ,Utrecht (gemeente),male,35-45,"Hbo-, wo-bachelor",D66
506,GM0267    ,Nijkerk,female,65-75,"Havo, vwo, mbo2-4",CDA
507,GM0230    ,Elburg,female,15-25,"Havo, vwo, mbo2-4",D66
508,GM0361    ,Alkmaar,male,55-65,"Hbo-, wo-bachelor",VVD
509,GM1963    ,Hoeksche Waard,female,55-65,"Hbo-, wo-bachelor",50PLUS
510,GM0534    ,Hillegom,male,45-55,"Havo, vwo, mbo2-4",VVD
511,GM0917    ,Heerlen,female,35-45,Basisonderwijs,Did not vote
512,GM0737    ,Tytsjerksteradiel,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
513,GM0080    ,Leeuwarden,female,15-25,"Hbo-, wo-bachelor",D66
514,GM0420    ,Medemblik,female,55-65,"Havo, vwo, mbo2-4",CDA
515,GM0193    ,Zwolle,male,35-45,"Hbo-, wo-master, doctor",D66
516,GM0363    ,Amsterdam,male,45-55,Basisonderwijs,PVV
517,GM1640    ,Leudal,female,55-65,"Havo, vwo, mbo2-4",CDA
518,GM1948    ,Meierijstad,male,35-45,"Hbo-, wo-master, doctor",D66
519,GM0518    ,'s-Gravenhage (gemeente),male,55-65,"Havo, vwo, mbo2-4",VVD
520,GM0166    ,Kampen,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
521,GM0505    ,Dordrecht,male,25-35,"Havo, vwo, mbo2-4",D66
522,GM0518    ,'s-Gravenhage (gemeente),female,65-75,Basisonderwijs,50PLUS
523,GM0575    ,Noordwijk,male,45-55,"Hbo-, wo-bachelor",VVD
524,GM0453    ,Velsen,female,45-55,"Hbo-, wo-master, doctor",D66
525,GM0603    ,Rijswijk (ZH.),male,35-45,"Hbo-, wo-master, doctor",D66
526,GM0230    ,Elburg,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
527,GM0823    ,Oirschot,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
528,GM0556    ,Maassluis,female,65-75,"Hbo-, wo-bachelor",CDA
529,GM0202    ,Arnhem,female,25-35,"Havo, vwo, mbo2-4",D66
530,GM0622    ,Vlaardingen,male,55-65,"Havo, vwo, mbo2-4",VVD
531,GM0047    ,Veendam,male,35-45,"Havo, vwo, mbo2-4",BBB
532,GM1705    ,Lingewaard,female,25-35,"Havo, vwo, mbo2-4",VVD
533,GM0114    ,Emmen,female,35-45,"Havo, vwo, mbo2-4",VVD
534,GM0267    ,Nijkerk,male,35-45,"Havo, vwo, mbo2-4",BBB
535,GM0556    ,Maassluis,male,65-75,"Havo, vwo, mbo2-4",50PLUS
536,GM1681    ,Borger-Odoorn,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
537,GM1955    ,Montferland,female,55-65,"Hbo-, wo-master, doctor",D66
538,GM0606    ,Schiedam,male,55-65,"Hbo-, wo-bachelor",VVD
539,GM1859    ,Berkelland,male,45-55,"Hbo-, wo-bachelor",VVD
540,GM0168    ,Losser,female,35-45,"Hbo-, wo-master, doctor",D66
541,GM0177    ,Raalte,female,25-35,"Havo, vwo, mbo2-4",BBB
542,GM1719    ,Drimmelen,male,35-45,"Havo, vwo, mbo2-4",BBB
543,GM1892    ,Zuidplas,female,65-75,"Havo, vwo, mbo2-4",CDA
544,GM0957    ,Roermond,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
545,GM1894    ,Peel en Maas,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
546,GM0392    ,Haarlem,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",D66
547,GM0310    ,De Bilt,male,15-25,"Havo, vwo, mbo2-4",VVD
548,GM1525    ,Teylingen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
549,GM0164    ,Hengelo (O.),female,25-35,"Havo, vwo, mbo2-4",D66
550,GM1954    ,Beekdaelen,female,15-25,"Havo, vwo, mbo2-4",D66
551,GM1963    ,Hoeksche Waard,male,65-75,"Havo, vwo, mbo2-4",CDA
552,GM0513    ,Gouda,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
553,GM1940    ,De Fryske Marren,female,15-25,"Havo, vwo, mbo2-4",PvdD
554,GM0034    ,Almere,female,55-65,"Havo, vwo, mbo2-4",CDA
555,GM0928    ,Kerkrade,male,35-45,Basisonderwijs,CDA
556,GM0677    ,Hulst,female,15-25,"Havo, vwo, mbo2-4",GL-PvdA
557,GM0622    ,Vlaardingen,female,35-45,"Havo, vwo, mbo2-4",D66
558,GM1931    ,Krimpenerwaard,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
559,GM0189    ,Wierden,male,55-65,"Hbo-, wo-master, doctor",VVD
560,GM0405    ,Hoorn,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",SP
561,GM0273    ,Putten,male,35-45,"Hbo-, wo-master, doctor",D66
562,GM1706    ,Cranendonck,male,35-45,"Havo, vwo, mbo2-4",BBB
563,GM1621    ,Lansingerland,male,25-35,"Hbo-, wo-bachelor",D66
564,GM0622    ,Vlaardingen,female,25-35,"Havo, vwo, mbo2-4",D66
565,GM1700    ,Twenterand,female,55-65,"Havo, vwo, mbo2-4",CDA
566,GM0518    ,'s-Gravenhage (gemeente),female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
567,GM0957    ,Roermond,male,35-45,"Hbo-, wo-master, doctor",D66
568,GM0363    ,Amsterdam,female,45-55,"Hbo-, wo-master, doctor",D66
569,GM0363    ,Amsterdam,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
570,GM0531    ,Hendrik-Ido-Ambacht,female,65-75,"Hbo-, wo-master, doctor",D66
571,GM0599    ,Rotterdam,female,55-65,"Hbo-, wo-bachelor",D66
572,GM0344    ,Utrecht (gemeente),male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
573,GM0014    ,Groningen (gemeente),female,65-75,"Havo, vwo, mbo2-4",CDA
574,GM1509    ,Oude IJsselstreek,female,65-75,Basisonderwijs,CDA
575,GM0654    ,Borsele,male,35-45,"Havo, vwo, mbo2-4",BBB
576,GM1980    ,Dijk en Waard,male,65-75,"Havo, vwo, mbo2-4",CDA
577,GM0362    ,Amstelveen,female,55-65,"Havo, vwo, mbo2-4",VVD
578,GM0268    ,Nijmegen,female,25-35,"Hbo-, wo-master, doctor",D66
579,GM0498    ,Drechterland,female,65-75,"Hbo-, wo-bachelor",50PLUS
580,GM0396    ,Heemskerk,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
581,GM0402    ,Hilversum,female,25-35,"Hbo-, wo-bachelor",D66
582,GM0717    ,Veere,male,55-65,"Hbo-, wo-bachelor",VVD
583,GM0855    ,Tilburg,female,15-25,"Hbo-, wo-bachelor",D66
584,GM0141    ,Almelo,male,25-35,"Havo, vwo, mbo2-4",VVD
585,GM0228    ,Ede,female,55-65,"Hbo-, wo-bachelor",CDA
586,GM0383    ,Castricum,female,45-55,"Hbo-, wo-bachelor",VVD
587,GM0995    ,Lelystad,male,35-45,Basisonderwijs,PVV
588,GM0275    ,Rheden,male,35-45,"Havo, vwo, mbo2-4",VVD
589,GM0037    ,Stadskanaal,male,15-25,"Havo, vwo, mbo2-4",Did not vote
590,GM0307    ,Amersfoort,female,15-25,"Havo, vwo, mbo2-4",D66
591,GM0677    ,Hulst,female,25-35,"Hbo-, wo-master, doctor",GL-PvdA
592,GM0177    ,Raalte,female,15-25,"Hbo-, wo-bachelor",D66
593,GM0420    ,Medemblik,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
594,GM1731    ,Midden-Drenthe,male,25-35,"Havo, vwo, mbo2-4",BBB
595,GM0356    ,Nieuwegein,female,35-45,"Hbo-, wo-bachelor",D66
596,GM0200    ,Apeldoorn,female,45-55,Basisonderwijs,PVV
597,GM1883    ,Sittard-Geleen,female,35-45,"Havo, vwo, mbo2-4",D66
598,GM1960    ,West Betuwe,female,65-75,"Havo, vwo, mbo2-4",CDA
599,GM0307    ,Amersfoort,female,65-75,"Hbo-, wo-bachelor",CDA
600,GM1969    ,Westerkwartier,male,55-65,Basisonderwijs,CDA
601,GM0627    ,Waddinxveen,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
602,GM0796    ,'s-Hertogenbosch,male,15-25,"Havo, vwo, mbo2-4",Did not vote
603,GM0518    ,'s-Gravenhage (gemeente),female,45-55,"Hbo-, wo-master, doctor",D66
604,GM0085    ,Ooststellingwerf,female,15-25,Basisonderwijs,Did not vote
605,GM0599    ,Rotterdam,female,15-25,"Hbo-, wo-bachelor",D66
606,GM0840    ,Rucphen,male,45-55,"Havo, vwo, mbo2-4",BBB
607,GM0505    ,Dordrecht,female,35-45,"Havo, vwo, mbo2-4",D66
608,GM0222    ,Doetinchem,female,35-45,"Hbo-, wo-bachelor",D66
609,GM0344    ,Utrecht (gemeente),female,25-35,"Havo, vwo, mbo2-4",D66
610,GM0988    ,Weert,male,25-35,"Hbo-, wo-master, doctor",D66
611,GM0772    ,Eindhoven,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",CDA
612,GM0345    ,Veenendaal,male,25-35,"Hbo-, wo-bachelor",D66
613,GM0034    ,Almere,male,15-25,Basisonderwijs,Did not vote
614,GM0518    ,'s-Gravenhage (gemeente),female,55-65,Basisonderwijs,VVD
615,GM1774    ,Dinkelland,male,45-55,"Havo, vwo, mbo2-4",BBB
616,GM0200    ,Apeldoorn,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
617,GM0629    ,Wassenaar,male,35-45,"Hbo-, wo-bachelor",VVD
618,GM1926    ,Pijnacker-Nootdorp,male,25-35,"Havo, vwo, mbo2-4",VVD
619,GM0766    ,Dongen,male,45-55,Basisonderwijs,PVV
620,GM0327    ,Leusden,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
621,GM1982    ,Land van Cuijk,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
622,GM0281    ,Tiel,female,25-35,"Hbo-, wo-bachelor",D66
623,GM0363    ,Amsterdam,female,35-45,"Havo, vwo, mbo2-4",D66
624,GM0855    ,Tilburg,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
625,GM0772    ,Eindhoven,female,25-35,"Havo, vwo, mbo2-4",D66
626,GM1955    ,Montferland,male,65-75,"Havo, vwo, mbo2-4",CDA
627,GM0080    ,Leeuwarden,female,45-55,Basisonderwijs,CDA
628,GM0518    ,'s-Gravenhage (gemeente),female,45-55,Basisonderwijs,PVV
629,GM0294    ,Winterswijk,female,45-55,"Hbo-, wo-bachelor",D66
630,GM0758    ,Breda,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
631,GM0352    ,Wijk bij Duurstede,female,25-35,"Hbo-, wo-bachelor",D66
632,GM0569    ,Nieuwkoop,female,45-55,"Havo, vwo, mbo2-4",VVD
633,GM0642    ,Zwijndrecht,male,55-65,"Hbo-, wo-bachelor",VVD
634,GM0268    ,Nijmegen,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
635,GM0394    ,Haarlemmermeer,male,25-35,"Havo, vwo, mbo2-4",VVD
636,GM0479    ,Zaanstad,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
637,GM1883    ,Sittard-Geleen,female,25-35,"Hbo-, wo-master, doctor",D66
638,GM1952    ,Midden-Groningen,female,55-65,"Hbo-, wo-master, doctor",D66
639,GM0361    ,Alkmaar,female,65-75,"Hbo-, wo-master, doctor",D66
640,GM0599    ,Rotterdam,male,35-45,"Havo, vwo, mbo2-4",VVD
